channel,class,last_touch_orders,algorithmic_orders,delta_orders,pct_delta,revenue_per_order,order_share_pct
Direct Mail,Gainer,2708.0,7657.745888833404,4950.0,182.8,998.0,1.1
Social Referrals,Gainer,1697.0000000000002,3860.420381007885,2163.0,127.5,922.0,0.7
Print,Gainer,2252.0,5074.197725885233,2822.0,125.3,897.0,1.0
Podcast,Gainer,4651.0,8994.220508658036,4343.0,93.4,902.0,2.0
Television,Gainer,4150.0,7931.723594461109,3782.0,91.1,918.0,1.8
Natural Search,Gainer,4853.0,9143.85499084252,4291.0,88.4,925.0,2.1
Social Campaign,Gainer,10042.0,15243.861068098677,5202.0,51.8,913.0,4.3
Display,Gainer,12100.000000000002,17248.62558968821,5149.0,42.6,913.0,5.1
Other Websites,Gainer,17633.0,22238.30633949391,4605.0,26.1,934.0,7.5
Paid Search,Gainer,19095.0,21402.92477106236,2308.0,12.1,909.0,8.1
Comparison Shopping,Stable,23743.000000000004,23274.979438617003,-468.0,-2.0,925.0,10.1
Push,Stable,26778.000000000004,24734.100109612667,-2044.0,-7.6,927.0,11.3
SMS,Loser,30297.000000000004,25003.352601565155,-5294.0,-17.5,896.0,12.8
In-App Messaging,Loser,21217.0,13499.252046564625,-7718.0,-36.4,625.0,9.0
LLM,Loser,5772.000000000001,3277.914750527252,-2494.0,-43.2,892.0,2.4
Email,Loser,49195.00000000001,27597.520195082743,-21597.0,-43.9,827.0,20.8
