#=================================================================
# Marketing Attribution
# Data view: Omni-Channel - Multi-Industry
"# Date: May 1, 2026 - May 31, 2026"
#=================================================================


##############################################
# Marketing Channel Performance - Comparing models and lookback windows
##############################################
,Sessions,Total Orders (Last Touch | Person | 30 Days),Total Orders (Last Touch | Person | 14 Days),Total Orders (Linear | Person | 30 Days),Total Orders (Linear | Person | 14 Days),Total Orders (Algorithmic | Person | 30 Days),Total Orders (Algorithmic | Person | 14 Days)
Marketing Channel,1853027,236183,231678,236182.9999999921,231678.0000000029,236183.000000009,231678.00000001
Email,589756,49195.00000000001,48310.00000000001,50349.374541033714,48834.48729177872,27597.520195082743,34053.4813963815
SMS,424438,30297.000000000004,29684.000000000004,36228.776789648866,34675.04748784599,25003.352601565155,27576.788539238616
Push,413883,26778.000000000004,26211.000000000004,35007.04564476681,33579.23029988923,24734.100109612667,26953.398645798723
Comparison Shopping,367306,23743.000000000004,23291.000000000004,22428.67184636338,22147.579523532215,23274.979438617003,23995.987379287446
Paid Search,301847,19095,18753,18004.572249589095,17803.47154709515,21402.924771062353,20962.288000888046
Other Websites,270521,17633,17171,19996.11017537212,18302.877506759614,22238.30633949391,20885.28301975807
Display,198292,12100.000000000002,11850.000000000002,11856.604451722353,11385.762688777968,17248.62558968821,15137.639196914231
Social Campaign,168065,10042,9844,9232.429155130269,9217.164938691705,15243.861068098677,12950.894375069407
In-App Messaging,147529,21217,20915,8209.624324546412,9324.989471655697,13499.252046564625,12281.904301254324
LLM,108262,5772.000000000001,5772.000000000001,1785.0442899324105,3459.4523204749885,3277.914750527252,4698.671775446782
Natural Search,82511,4853,4772,4471.318020231764,4391.898493114546,9143.85499084252,6917.566219891236
Podcast,81896,4651,4548,4352.624245925448,4376.411613454351,8994.220508658036,6903.777830502848
Television,69514,4150,4074.0000000000005,3712.7114835630773,3697.4424105624935,7931.723594461109,5934.386746586759
Direct Mail,47293,2708,2622,6744.199224175598,6687.225135504158,7657.745888833404,6037.658172383182
Print,41445,2252,2191,2190.125103788659,2170.50852800358,5074.197725885233,3636.548110223112
Social Referrals,30963,1697.0000000000002,1670.0000000000002,1613.7684541989026,1624.4507428533586,3860.420381007885,2751.72629037629
