#=================================================================
# Marketing Attribution
# Data view: Omni-Channel - Multi-Industry
"# Date: May 1, 2026 - May 31, 2026"
#=================================================================


##############################################
# Marketing Channel Performance - Interaction Channel Breakdown
##############################################
,Total Orders (Algorithmic | Person | 14 Days),Total Orders (Algorithmic | Person | 14 Days),Total Orders (Algorithmic | Person | 14 Days),Total Orders (Algorithmic | Person | 14 Days),Total Orders (Linear | Person | 14 Days),Total Orders (Linear | Person | 14 Days),Total Orders (Linear | Person | 14 Days),Total Orders (Linear | Person | 14 Days)
,Website,Mobile App,Call Center,Point Of Sale,Website,Mobile App,Call Center,Point Of Sale
Marketing Channel,57241.60000000362,42367.68333333379,49562.06666666904,32578.63333333167,114411.0067200856,59787.85909407182,17223.15498701993,5912.104291555249
Email,8705.195480538054,6029.991222481245,7405.081444990252,4759.967426046153,24220.25351217828,11982.414288141881,3651.5892231504754,1239.446998108585
SMS,6879.289723101009,4890.114058117803,5929.737545787569,3833.105535436762,17005.40730852935,8514.705018568047,2577.1987947450325,868.0264693198583
Push,6705.759730593514,4786.499811762304,5771.393157768176,3728.344459706936,16482.27781526116,8249.035192422562,2472.3480404701177,822.4368969829751
Comparison Shopping,6038.952191697209,4339.179395881875,5177.811455812709,3445.182985625466,11308.949413078879,5571.691153300389,1662.4012949519831,602.1348271424156
Paid Search,5238.286065786067,3804.7884407259194,4515.559386770623,3009.065696248181,9077.546199372457,4503.111065181261,1336.9661650865316,478.8202710423649
Other Websites,5191.338819560069,3773.2475966163247,4497.663834406319,2991.0416304066152,9255.260798415542,4600.229134439284,1398.1425749346645,494.22387433703193
Display,3732.688717023701,2732.146315027553,3230.513928293913,2196.3000260850204,5809.97269827113,2868.4868139913983,847.2070927505083,309.47911679070756
Social Campaign,3185.832033614521,2329.2583202908127,2760.489768287258,1868.8974858474821,4737.844079893709,2296.6217100058307,680.5848144145915,246.69523740438447
In-App Messaging,2736.4996967384377,3166.6358872146257,2582.566570929062,1540.1319172031667,3108.4836071110954,4627.187521925697,633.844838229079,176.19697752336683
Natural Search,1678.733958911457,1249.5931074018586,1456.82948056573,1004.1853650516182,2243.637386657681,1099.6226725397883,329.0822272054728,119.52727957619018
Podcast,1673.7151035076017,1255.5636331261346,1458.577044390794,993.3729503367034,2235.7648679185877,1112.0780837726675,321.4354650759888,115.3679049563526
Television,1440.013414640915,1063.180308441561,1251.0156481481495,867.2651049413569,1901.7431485559387,919.8430119472994,268.5026022316791,101.24029208342067
Direct Mail,1317.8871131183641,962.957331326084,1176.9577664465187,718.2631124431134,3223.49406524535,1642.3972928311346,528.8515616883319,144.4527193877803
LLM,1184.0519528619543,832.7029013116525,997.4030558330576,694.1485921023421,1858.093085829223,851.6699289588206,233.12024779986447,92.71599365804529
Print,871.984984552486,658.0953993691495,768.6851881914392,528.8275781163273,1107.3888173664304,548.7495479279439,158.75850651737085,59.107950466528614
Social Referrals,661.3710137547638,493.72960423835355,581.7813900451397,400.53346773596735,834.8899163990183,400.01665811766287,123.12153776777261,42.23148277517517
