#=================================================================
# Marketing Performance
# Data view: Omni-Channel - Multi-Industry
"# Date: May 1, 2026 - May 31, 2026"
#=================================================================


##############################################
# Marketing Acquisition vs. Closure
##############################################
,Acquisition Rate,Closure Rate,Lifecycle Index
Marketing Channel,1,1,0
Direct Mail,0.12499481836647276,0.03741830291138716,0.0875765154550856
Push,0.158241128413363,0.1300647943967904,0.0281763340165726
Other Websites,0.11741321711585562,0.09247575743272654,0.024937459683129076
SMS,0.16300135609252314,0.14621186894644642,0.016789487146076726
Display,0.0840490599009741,0.07831461764991425,0.005734442251059846
Natural Search,0.05516359568006941,0.055403338128182295,-0.00023974244811288126
Comparison Shopping,0.1193988225928311,0.12039267188268522,-0.000993849289854118
Print,0.04390954633455082,0.04494740833882202,-0.001037862004271202
Podcast,0.05246195373947038,0.05411411551170475,-0.0016521617722343729
Social Referrals,0.042128487994808575,0.04404931862426996,-0.0019208306294613842
Paid Search,0.10071109283170801,0.10333575054387235,-0.002624657712164344
Social Campaign,0.06877476049845134,0.07233306922134985,-0.003558308722898515
Television,0.047897165801892946,0.054102677756629206,-0.006205511954736259
Email,0.21379703276976156,0.22245183111838626,-0.008654798348624704
In-App Messaging,0.07733796658459663,0.17471035317561612,-0.09737238659101949
LLM,0.006374925293844213,0.19164619164619165,-0.18527126635234745
