#=================================================================
# Marketing Performance
# Data view: Omni-Channel - Multi-Industry
"# Date: May 1, 2026 - May 31, 2026"
#=================================================================


##############################################
# Marketing Performance by Channel
##############################################
,Total Orders (Last Touch | Person | 30 Days),Total Revenue
Marketing Channel,236183,205830451.97
Email,49195.00000000001,40665888.21
SMS,30297.000000000004,27146418.6
Push,26778.000000000004,24811543.950000003
Comparison Shopping,23743.000000000004,21958620.950000003
In-App Messaging,21217,13266674.770000001
Paid Search,19095,17365755.17
Other Websites,17633,16477170.270000001
Display,12100.000000000002,11043208.16
Social Campaign,10042,9164213.47
LLM,5772.000000000001,5151327.930000001
Natural Search,4853,4488182.16
Podcast,4651,4194677.95
Television,4150,3808903.45
Direct Mail,2708,2703869.3400000003
Print,2252,2019004.7500000002
Social Referrals,1697.0000000000002,1564992.84
