#=================================================================
# Marketing Performance
# Data view: Omni-Channel - Multi-Industry
"# Date: May 1, 2026 - May 31, 2026"
#=================================================================


##############################################
# Marketing Performance by Conversion Channel
##############################################
,Total Orders (Last Touch | Person | 30 Days),Total Orders (Last Touch | Person | 30 Days),Total Orders (Last Touch | Person | 30 Days),Total Orders (Last Touch | Person | 30 Days),Total Orders (Last Touch | Person | 30 Days)
,Mobile App,Website,Mobile Web,Point Of Sale,Call Center
Marketing Channel,61397.00000000001,50365.00000000001,14745,38476,71200
In-App Messaging,12442.000000000002,2441,412.00000000000006,1768.0000000000002,4154
Email,9655,15288.000000000002,2892.0000000000005,7646.000000000001,13714.000000000002
SMS,6661.000000000001,7290.000000000001,1827.0000000000002,5142,9377
Push,6389.000000000001,5052,1816.0000000000002,4740,8781
Comparison Shopping,5840.000000000001,4396,1734.0000000000002,4147,7626.000000000001
Paid Search,4727,3521.0000000000005,1370,3315.0000000000005,6162.000000000001
Other Websites,4176,3147.0000000000005,1235,3090.0000000000005,5985.000000000001
Display,2885.0000000000005,2338,849.0000000000001,2171,3857.0000000000005
Social Campaign,2442,1924.0000000000002,721.0000000000001,1722.0000000000002,3233.0000000000005
LLM,1442.0000000000002,1127,457.00000000000006,992.0000000000001,1754.0000000000002
Natural Search,1157,906.0000000000001,352.00000000000006,864.0000000000001,1574.0000000000002
Podcast,1146,858.0000000000001,346,844.0000000000001,1457.0000000000002
Television,1024,767.0000000000001,309,755.0000000000001,1295
Print,539,439.00000000000006,174.00000000000003,423.00000000000006,677
Direct Mail,477.00000000000006,577,107.00000000000001,531,1016.0000000000001
Social Referrals,395.00000000000006,294,144,326,538
