channel,attribution_class,total_revenue,pct_delta,revenue_per_order,business_interpretation
Email,Loser,40665888.0,-0.439,826.63,"High revenue, over-credited by last-touch"
SMS,Loser,27146419.0,-0.1747,896.01,"High revenue, over-credited by last-touch"
Push,Stable,24811544.0,-0.0763,926.56,"High revenue, over-credited by last-touch"
Comparison Shopping,Stable,21958621.0,-0.0197,924.85,"High revenue, over-credited by last-touch"
Paid Search,Gainer,17365755.0,0.1209,909.44,"High revenue, under-credited by last-touch"
Other Websites,Gainer,16477170.0,0.2612,934.45,"High revenue, under-credited by last-touch"
In-App Messaging,Loser,13266675.0,-0.3638,625.29,"High revenue, over-credited by last-touch"
Display,Gainer,11043208.0,0.4255,912.66,"High revenue, under-credited by last-touch"
Social Campaign,Gainer,9164213.0,0.518,912.59,"High revenue, under-credited by last-touch"
LLM,Loser,5151328.0,-0.4321,892.47,"High revenue, over-credited by last-touch"
Natural Search,Gainer,4488182.0,0.8842,924.83,"High revenue, under-credited by last-touch"
Podcast,Gainer,4194678.0,0.9338,901.89,"High revenue, under-credited by last-touch"
Television,Gainer,3808903.0,0.9113,917.81,"High revenue, under-credited by last-touch"
Direct Mail,Gainer,2703869.0,1.8278,998.47,"High revenue, under-credited by last-touch"
Print,Gainer,2019005.0,1.2532,896.54,"High revenue, under-credited by last-touch"
Social Referrals,Gainer,1564993.0,1.2748,922.21,"High revenue, under-credited by last-touch"
